ticker,mentions,bullish_pct,bearish_pct,neutral_pct,sentiment_ratio,weighted_sentiment,avg_confidence
INTC,70,81.42857142857143,18.571428571428573,-3.552713678800501e-15,4.384615384615384,45.57142857142857,68.71428571428571
PLTR,673,80.98068350668647,18.87072808320951,0.1485884101040149,4.291338582677165,45.15898959881125,70.2852897473997
AMD,461,80.4772234273319,19.088937093275486,0.4338394793926206,4.215909090909092,45.15184381778736,70.5531453362256
BTI,6,83.33333333333334,16.666666666666664,-7.105427357601002e-15,5.000000000000001,44.166666666666664,64.16666666666667
DECK,11,81.81818181818183,18.181818181818183,-1.0658141036401503e-14,4.5,44.0909090909091,68.63636363636364
PFE,15,80.0,20.0,0.0,4.0,44.0,70.0
RACE,10,80.0,20.0,0.0,4.0,43.99999999999999,71.0
ONON,15,80.0,20.0,0.0,4.0,43.66666666666666,72.33333333333333
AVGO,78,78.2051282051282,20.51282051282051,1.2820512820512846,3.8125000000000004,43.65384615384616,72.75641025641026
ORCL,26,76.92307692307693,19.230769230769234,3.8461538461538325,4.0,43.65384615384615,71.34615384615384
XRP,36,77.77777777777779,22.22222222222222,-7.105427357601002e-15,3.5000000000000004,43.6111111111111,71.38888888888889
DOGE,28,78.57142857142857,21.428571428571427,3.552713678800501e-15,3.666666666666667,43.21428571428571,69.28571428571429
SOUN,25,80.0,20.0,0.0,4.0,43.0,69.0
TLRY,9,77.77777777777779,22.22222222222222,-7.105427357601002e-15,3.5000000000000004,42.77777777777778,71.66666666666667
GEV,9,77.77777777777779,22.22222222222222,-7.105427357601002e-15,3.5000000000000004,42.77777777777778,73.88888888888889
MU,49,77.55102040816327,20.408163265306122,2.04081632653061,3.8000000000000003,42.75510204081632,71.93877551020408
OKTA,10,80.0,20.0,0.0,4.0,42.50000000000001,72.5
FCF,9,77.77777777777779,22.22222222222222,-7.105427357601002e-15,3.5000000000000004,42.22222222222223,74.44444444444444
FDX,5,80.0,20.0,0.0,4.0,41.99999999999999,72.0
ATD,13,76.92307692307693,23.076923076923077,-1.0658141036401503e-14,3.333333333333334,41.92307692307693,68.84615384615384
BRK,16,75.0,25.0,0.0,3.0,41.56249999999999,73.4375
SPX,409,78.239608801956,21.76039119804401,-7.105427357601002e-15,3.595505617977528,41.403422982885026,69.79462102689486
CIFR,14,78.57142857142857,21.428571428571427,3.552713678800501e-15,3.666666666666667,41.07142857142857,68.92857142857143
SBSW,10,80.0,20.0,0.0,4.0,41.0,68.0
GLD,11,72.72727272727273,18.181818181818183,9.090909090909083,4.0,40.90909090909092,69.0909090909091
QQQ,744,78.09139784946237,21.908602150537636,-3.552713678800501e-15,3.5644171779141103,40.8870967741935,70.29569892473118
GM,13,76.92307692307693,23.076923076923077,-1.0658141036401503e-14,3.333333333333334,40.769230769230774,73.07692307692308
PANW,40,77.5,22.5,0.0,3.4444444444444446,40.74999999999999,70.0
